                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5557,                 3.6615,                 1.8551,                0.48555,                 0.3831,                0.30918,                0.17573,                 1.7972,                 3.3605,                 2.1471,             0.00033239,             0.00033239,             0.00033239
                      2,                 1.5743,                 2.9415,                 1.8716,                0.34479,                0.40202,                0.33999,                0.19938,                 1.7417,                 2.6425,                 2.1078,             0.00065474,             0.00065474,             0.00065474
                      3,                 1.5482,                 2.6367,                 1.8746,                0.53051,                0.38001,                0.35244,                0.18047,                 1.8215,                 2.7784,                 2.1723,             0.00096608,             0.00096608,             0.00096608
                      4,                 1.5449,                 2.4792,                 1.8719,                0.57618,                0.45087,                0.40829,                 0.2353,                 1.7564,                 2.4316,                 2.1383,              0.0009505,              0.0009505,              0.0009505
                      5,                 1.5385,                 2.3559,                 1.8512,                0.41069,                0.44781,                0.42396,                0.27325,                 1.6505,                 2.3584,                 2.0285,               0.000934,               0.000934,               0.000934
                      6,                 1.4788,                 2.2242,                 1.7984,                 0.4776,                0.44441,                0.46729,                0.30659,                 1.6023,                 2.2762,                 1.9381,              0.0009175,              0.0009175,              0.0009175
                      7,                 1.4468,                 2.1136,                 1.7596,                0.59448,                 0.4653,                0.49844,                0.32561,                 1.6257,                 2.1913,                 1.9653,               0.000901,               0.000901,               0.000901
                      8,                 1.4357,                 2.1056,                 1.7548,                0.48319,                0.46063,                 0.4867,                0.32043,                 1.6565,                 2.2353,                  1.977,              0.0008845,              0.0008845,              0.0008845
                      9,                 1.4152,                 2.0334,                 1.7329,                 0.5255,                0.53441,                0.53479,                 0.3514,                 1.5841,                 2.0215,                 1.9059,               0.000868,               0.000868,               0.000868
                     10,                 1.3759,                 1.9807,                 1.7045,                  0.507,                0.52989,                 0.5181,                  0.351,                  1.545,                 2.0487,                 1.8811,              0.0008515,              0.0008515,              0.0008515
                     11,                 1.3697,                 1.9574,                 1.7059,                 0.5191,                0.51524,                0.52045,                0.36201,                 1.5631,                 2.1113,                 1.9359,               0.000835,               0.000835,               0.000835
                     12,                 1.3393,                 1.8669,                 1.6737,                0.55603,                0.56908,                0.57643,                0.39843,                 1.5054,                 1.9291,                 1.8112,              0.0008185,              0.0008185,              0.0008185
                     13,                 1.3374,                  1.865,                 1.6722,                0.55012,                0.56629,                0.57486,                0.39816,                 1.4709,                 1.9093,                 1.8141,               0.000802,               0.000802,               0.000802
                     14,                 1.3209,                 1.8091,                 1.6582,                0.57038,                0.57991,                 0.5707,                0.39239,                  1.528,                 1.8869,                 1.8553,              0.0007855,              0.0007855,              0.0007855
                     15,                 1.3058,                 1.7849,                 1.6357,                0.61834,                0.54273,                0.58294,                0.40531,                 1.4698,                 1.8511,                 1.7948,               0.000769,               0.000769,               0.000769
                     16,                 1.2949,                 1.7551,                 1.6313,                0.55964,                0.57345,                0.59493,                0.42239,                 1.4563,                 1.8045,                 1.7915,              0.0007525,              0.0007525,              0.0007525
                     17,                 1.2606,                 1.7282,                 1.6121,                0.61368,                 0.5367,                0.56578,                0.41039,                 1.4931,                 1.9596,                 1.8515,               0.000736,               0.000736,               0.000736
                     18,                 1.2592,                 1.6984,                 1.6064,                 0.6329,                0.58241,                0.60925,                0.43856,                 1.4327,                 1.7392,                 1.7593,              0.0007195,              0.0007195,              0.0007195
                     19,                 1.2495,                 1.6625,                 1.5939,                0.57633,                0.61057,                0.61667,                0.44322,                  1.409,                 1.7477,                 1.7356,               0.000703,               0.000703,               0.000703
                     20,                 1.2532,                 1.6434,                 1.5875,                0.59426,                0.62763,                0.62482,                0.44962,                 1.4383,                  1.726,                  1.758,              0.0006865,              0.0006865,              0.0006865
                     21,                 1.2301,                  1.609,                 1.5808,                0.63064,                0.62283,                0.63789,                0.46605,                 1.3752,                 1.6719,                  1.714,                0.00067,                0.00067,                0.00067
                     22,                 1.2006,                 1.5636,                 1.5577,                0.59946,                0.61047,                0.60605,                0.43356,                 1.4376,                 1.7686,                 1.7624,              0.0006535,              0.0006535,              0.0006535
                     23,                 1.1988,                 1.5617,                 1.5497,                 0.6162,                0.62684,                0.63028,                0.45918,                 1.3676,                 1.6257,                 1.6918,               0.000637,               0.000637,               0.000637
                     24,                 1.2041,                 1.5382,                 1.5477,                 0.6268,                0.63263,                0.63485,                0.46226,                 1.3823,                 1.7161,                 1.7116,              0.0006205,              0.0006205,              0.0006205
