                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96912,                 1.0537,                 1.3419,                 0.7042,                0.68412,                0.68725,                0.51241,                 1.3588,                 1.4575,                 1.7039,             0.00033239,             0.00033239,             0.00033239
                      2,                 1.0489,                 1.1818,                 1.4004,                 0.6402,                0.64962,                0.65717,                 0.4867,                 1.3876,                 1.5773,                 1.7177,             0.00063277,             0.00063277,             0.00063277
                      3,                 1.1013,                 1.2871,                 1.4422,                0.68423,                0.62241,                0.64789,                0.46578,                 1.4643,                 1.6223,                 1.8282,             0.00090015,             0.00090015,             0.00090015
                      4,                 1.1323,                 1.3634,                 1.4783,                0.64963,                0.59449,                0.61966,                0.44737,                 1.4643,                 1.7012,                 1.7692,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.1379,                 1.3425,                 1.4835,                0.63708,                0.64176,                0.64592,                0.47196,                 1.3758,                 1.5901,                 1.6977,               0.000802,               0.000802,               0.000802
                      6,                 1.1107,                  1.302,                 1.4572,                 0.6383,                0.63561,                0.63673,                0.47353,                  1.433,                 1.6326,                 1.7676,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.0952,                 1.2827,                  1.449,                0.68927,                0.64356,                0.66664,                0.49868,                 1.3877,                 1.5482,                 1.7141,               0.000703,               0.000703,               0.000703
                      8,                 1.1015,                 1.2973,                   1.45,                0.66159,                0.66129,                0.66532,                0.49991,                 1.3666,                 1.5358,                 1.7041,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.0774,                 1.2304,                 1.4212,                0.68787,                0.67677,                0.67429,                0.49872,                 1.3802,                 1.4941,                 1.7056,               0.000604,               0.000604,               0.000604
                     10,                 1.0587,                 1.2027,                 1.4178,                0.67811,                0.66907,                0.68771,                0.51116,                 1.3704,                 1.4826,                 1.6944,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.0875,                 1.1533,                 1.4514,                 0.6888,                 0.6706,                0.68835,                0.51591,                 1.3303,                 1.4488,                 1.6752,               0.000505,               0.000505,               0.000505
                     12,                  1.065,                 1.0852,                  1.426,                0.68284,                0.66222,                0.67181,                0.50448,                 1.3478,                 1.4795,                 1.6875,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.0386,                 1.0243,                 1.3975,                0.72616,                0.64836,                0.69402,                0.51983,                 1.3656,                 1.4696,                 1.6991,               0.000406,               0.000406,               0.000406
                     14,                 1.0065,                0.99373,                 1.3785,                0.73499,                0.66616,                0.69287,                0.52341,                 1.3316,                 1.4213,                 1.6585,              0.0003565,              0.0003565,              0.0003565
                     15,                0.98179,                0.95853,                  1.352,                0.73489,                0.67759,                0.70148,                0.53847,                 1.3195,                 1.4159,                 1.6723,               0.000307,               0.000307,               0.000307
                     16,                0.96085,                0.89836,                 1.3296,                0.72993,                0.68327,                0.70806,                0.54293,                  1.311,                 1.4041,                  1.656,              0.0002575,              0.0002575,              0.0002575
                     17,                0.95043,                0.89169,                 1.3216,                0.74969,                0.66835,                0.70923,                0.54259,                 1.3043,                 1.3718,                 1.6482,               0.000208,               0.000208,               0.000208
                     18,                0.91691,                0.83535,                 1.2856,                0.72678,                0.68021,                0.70358,                0.54405,                  1.295,                 1.3673,                  1.648,              0.0001585,              0.0001585,              0.0001585
                     19,                0.89032,                0.79163,                 1.2646,                0.71404,                0.70212,                0.71284,                0.54936,                 1.2995,                 1.3894,                 1.6511,               0.000109,               0.000109,               0.000109
                     20,                0.88555,                 0.7828,                 1.2579,                0.73514,                0.68382,                0.71526,                0.55578,                 1.2799,                 1.3381,                  1.633,               5.95e-05,               5.95e-05,               5.95e-05
