                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6614,                 3.0401,                 1.9471,                0.25325,                0.36843,                0.28261,                 0.1581,                 1.8794,                 2.6985,                 2.2408,             0.00033286,             0.00033286,             0.00033286
                      2,                  1.738,                 2.6279,                 2.0499,                0.78719,                0.20201,                0.20511,                0.10624,                 2.0103,                 3.2234,                 2.4101,             0.00065795,             0.00065795,             0.00065795
                      3,                 1.7466,                 2.6826,                  2.078,                0.54808,                0.39229,                0.35547,                 0.2034,                 1.8967,                 2.5442,                 2.2938,             0.00097479,             0.00097479,             0.00097479
                      4,                 1.7236,                 2.6184,                 2.0424,                0.55349,                0.38216,                 0.4037,                0.23998,                 1.8598,                 2.5168,                 2.2304,             0.00096288,             0.00096288,             0.00096288
                      5,                 1.6402,                 2.4802,                 1.9913,                0.56909,                0.43993,                0.42455,                0.26982,                 1.7365,                 2.3929,                 2.1294,              0.0009505,              0.0009505,              0.0009505
                      6,                 1.5831,                 2.3477,                 1.9222,                0.42291,                0.45898,                0.43386,                0.27884,                 1.6742,                 2.2572,                 2.0467,             0.00093813,             0.00093813,             0.00093813
                      7,                 1.5355,                 2.3141,                 1.8973,                0.43414,                 0.4752,                 0.4622,                 0.3101,                 1.6566,                  2.177,                 2.0292,             0.00092575,             0.00092575,             0.00092575
                      8,                 1.5122,                  2.226,                 1.8588,                0.49804,                0.49636,                0.51711,                0.34518,                 1.5911,                 2.0519,                 1.9538,             0.00091337,             0.00091337,             0.00091337
                      9,                 1.4691,                 2.1474,                 1.8169,                0.52462,                   0.49,                0.49503,                0.31793,                 1.6135,                  2.096,                 1.9835,               0.000901,               0.000901,               0.000901
                     10,                 1.4445,                 2.1072,                 1.8121,                0.54383,                0.51507,                0.52131,                0.35343,                 1.6262,                  2.032,                 1.9954,             0.00088862,             0.00088862,             0.00088862
                     11,                 1.4252,                 2.0835,                 1.7909,                 0.5875,                0.50499,                0.52269,                0.36017,                 1.5499,                 1.9823,                 1.9139,             0.00087625,             0.00087625,             0.00087625
                     12,                 1.3822,                 1.9883,                 1.7532,                0.48848,                0.56894,                0.53658,                0.36258,                 1.5458,                 2.0382,                 1.9208,             0.00086388,             0.00086388,             0.00086388
                     13,                 1.3869,                 1.9506,                 1.7491,                0.65207,                0.54439,                0.57268,                0.40599,                 1.4766,                 1.8392,                  1.847,              0.0008515,              0.0008515,              0.0008515
                     14,                 1.3735,                 1.9151,                   1.74,                0.57789,                0.55245,                0.57063,                0.40389,                 1.4795,                 1.8843,                  1.871,             0.00083913,             0.00083913,             0.00083913
                     15,                 1.3451,                 1.8497,                 1.7132,                0.73579,                0.51681,                0.57128,                 0.4011,                 1.5077,                 1.8906,                 1.8802,             0.00082675,             0.00082675,             0.00082675
                     16,                 1.3225,                 1.8599,                 1.7009,                0.52246,                0.56889,                0.55944,                0.39619,                 1.4515,                 1.8361,                 1.8198,             0.00081437,             0.00081437,             0.00081437
                     17,                 1.3227,                 1.8393,                 1.6925,                0.56942,                0.58451,                0.59515,                0.42728,                 1.4478,                  1.764,                 1.8091,               0.000802,               0.000802,               0.000802
                     18,                 1.2986,                 1.7682,                   1.67,                0.55203,                0.57501,                0.58643,                0.41735,                 1.4841,                 1.8464,                 1.8529,             0.00078963,             0.00078963,             0.00078963
                     19,                  1.273,                 1.7367,                 1.6619,                0.62221,                0.58494,                0.60695,                0.43943,                 1.4411,                 1.7281,                 1.7939,             0.00077725,             0.00077725,             0.00077725
                     20,                 1.2901,                 1.7435,                 1.6474,                0.66355,                0.55574,                0.59799,                 0.4328,                 1.4562,                 1.7794,                 1.7978,             0.00076488,             0.00076488,             0.00076488
                     21,                 1.2598,                 1.7049,                 1.6265,                0.63275,                0.59012,                0.61222,                0.44811,                 1.4004,                 1.6903,                 1.7375,              0.0007525,              0.0007525,              0.0007525
                     22,                 1.2447,                 1.6689,                 1.6198,                 0.5927,                0.61606,                0.60966,                0.44667,                 1.4363,                  1.706,                 1.7915,             0.00074013,             0.00074013,             0.00074013
                     23,                 1.2388,                 1.6625,                 1.6021,                0.61579,                0.61825,                0.63394,                0.45939,                 1.4178,                 1.6628,                 1.7577,             0.00072775,             0.00072775,             0.00072775
                     24,                 1.2447,                  1.651,                 1.6096,                0.59385,                0.60131,                0.62504,                0.46374,                  1.377,                  1.668,                 1.7363,             0.00071537,             0.00071537,             0.00071537
                     25,                 1.2426,                 1.6293,                 1.6117,                0.69631,                0.57941,                0.62793,                0.45147,                 1.4065,                 1.6617,                 1.7539,               0.000703,               0.000703,               0.000703
                     26,                 1.2063,                 1.5855,                 1.5868,                0.62039,                0.60743,                0.62559,                0.46504,                 1.3701,                 1.6119,                 1.7359,             0.00069063,             0.00069063,             0.00069063
                     27,                  1.195,                  1.546,                 1.5752,                0.62505,                0.62912,                0.64738,                0.48032,                 1.3706,                 1.5813,                 1.7186,             0.00067825,             0.00067825,             0.00067825
                     28,                 1.1991,                 1.5275,                 1.5818,                0.65218,                0.62701,                0.64597,                0.47277,                  1.356,                 1.6363,                 1.7269,             0.00066588,             0.00066588,             0.00066588
                     29,                  1.176,                  1.534,                 1.5724,                0.66216,                0.63921,                0.65495,                0.48401,                 1.3474,                 1.5379,                 1.7092,              0.0006535,              0.0006535,              0.0006535
                     30,                 1.1556,                 1.4844,                 1.5425,                0.67337,                0.63233,                0.65425,                0.48822,                 1.3348,                 1.5463,                 1.6974,             0.00064112,             0.00064112,             0.00064112
                     31,                 1.1541,                 1.4643,                 1.5401,                0.63846,                0.65541,                0.66771,                0.49887,                 1.3137,                 1.4924,                 1.6628,             0.00062875,             0.00062875,             0.00062875
                     32,                  1.135,                 1.4269,                 1.5229,                0.67568,                0.62785,                0.65827,                0.49089,                 1.3383,                 1.5066,                 1.6735,             0.00061638,             0.00061638,             0.00061638
                     33,                 1.1379,                 1.4084,                 1.5182,                0.70279,                  0.631,                0.66973,                0.50462,                 1.3023,                 1.5028,                 1.6577,               0.000604,               0.000604,               0.000604
                     34,                 1.1376,                 1.4407,                 1.5227,                0.64686,                0.64336,                 0.6677,                0.50661,                 1.3496,                 1.5627,                 1.7018,             0.00059163,             0.00059163,             0.00059163
                     35,                 1.1245,                 1.3894,                  1.511,                0.69355,                0.65422,                0.68247,                0.51086,                 1.2999,                 1.4877,                 1.6464,             0.00057925,             0.00057925,             0.00057925
                     36,                 1.1301,                 1.4032,                 1.5205,                0.69433,                0.64521,                 0.6821,                0.51651,                 1.2804,                   1.48,                  1.642,             0.00056687,             0.00056687,             0.00056687
                     37,                 1.1194,                 1.3649,                 1.5043,                0.69128,                0.67033,                0.69027,                0.52594,                 1.2809,                 1.4168,                 1.6314,              0.0005545,              0.0005545,              0.0005545
                     38,                 1.1015,                 1.3505,                 1.4881,                0.69614,                0.64716,                0.67865,                 0.5145,                 1.3336,                 1.4697,                 1.6801,             0.00054212,             0.00054212,             0.00054212
                     39,                 1.0983,                  1.324,                 1.4827,                0.69293,                0.66166,                0.68791,                0.51965,                 1.3007,                 1.4447,                 1.6468,             0.00052975,             0.00052975,             0.00052975
                     40,                 1.1005,                 1.3079,                 1.4728,                0.68297,                0.67711,                0.69556,                 0.5395,                 1.2746,                 1.3878,                 1.6222,             0.00051737,             0.00051737,             0.00051737
                     41,                 1.0812,                 1.2904,                 1.4547,                0.71136,                0.67803,                0.69657,                0.53569,                 1.2796,                  1.383,                 1.6103,               0.000505,               0.000505,               0.000505
                     42,                 1.0843,                 1.2913,                 1.4682,                0.70775,                0.67324,                0.70089,                0.53305,                 1.2832,                 1.3978,                 1.6192,             0.00049263,             0.00049263,             0.00049263
                     43,                 1.0721,                 1.2759,                 1.4615,                0.69281,                0.67304,                0.68728,                0.52266,                 1.3098,                 1.4505,                 1.6483,             0.00048025,             0.00048025,             0.00048025
                     44,                 1.0507,                 1.2222,                 1.4394,                0.69655,                 0.6899,                0.69591,                0.53556,                 1.2665,                 1.3853,                  1.598,             0.00046788,             0.00046788,             0.00046788
                     45,                  1.053,                 1.2472,                 1.4373,                0.72544,                0.68878,                0.71174,                0.54562,                 1.2671,                 1.3732,                 1.6082,              0.0004555,              0.0004555,              0.0004555
                     46,                  1.037,                 1.2142,                 1.4292,                 0.7125,                 0.6818,                 0.7084,                0.54129,                 1.2802,                 1.3702,                 1.6273,             0.00044312,             0.00044312,             0.00044312
                     47,                 1.0455,                  1.214,                 1.4288,                0.71098,                0.67191,                0.69899,                0.53061,                 1.2965,                 1.3951,                 1.6388,             0.00043075,             0.00043075,             0.00043075
                     48,                 1.0308,                 1.1831,                  1.413,                0.70896,                0.66704,                0.70017,                0.53162,                  1.285,                 1.3705,                 1.6262,             0.00041838,             0.00041838,             0.00041838
                     49,                 1.0287,                 1.1782,                 1.4179,                 0.6942,                0.70167,                0.70957,                0.54716,                 1.2579,                 1.3512,                 1.6005,               0.000406,               0.000406,               0.000406
                     50,                 1.0166,                  1.152,                 1.4086,                0.70595,                 0.6858,                0.70507,                0.54327,                 1.2978,                 1.3708,                 1.6626,             0.00039362,             0.00039362,             0.00039362
                     51,                0.99579,                 1.1186,                 1.3868,                0.72155,                0.67825,                0.70894,                0.54413,                 1.2909,                 1.3622,                 1.6344,             0.00038125,             0.00038125,             0.00038125
                     52,                0.98968,                 1.1138,                 1.3849,                0.74125,                0.68905,                0.72239,                0.55961,                 1.2463,                 1.3183,                  1.588,             0.00036888,             0.00036888,             0.00036888
                     53,                0.98445,                 1.0953,                 1.3819,                0.74963,                0.67422,                0.71612,                0.55016,                 1.2643,                 1.3587,                 1.6136,              0.0003565,              0.0003565,              0.0003565
                     54,                0.98993,                 1.1097,                 1.3827,                0.72504,                0.67937,                0.71072,                0.54387,                 1.2572,                 1.3463,                 1.5976,             0.00034413,             0.00034413,             0.00034413
                     55,                0.97637,                  1.091,                 1.3732,                0.74572,                0.67873,                0.71596,                0.55737,                 1.2506,                 1.3311,                 1.5985,             0.00033175,             0.00033175,             0.00033175
                     56,                0.96591,                 1.0648,                 1.3619,                0.74188,                0.68905,                0.71752,                0.55658,                 1.2515,                 1.3198,                 1.6032,             0.00031938,             0.00031938,             0.00031938
                     57,                0.95851,                   1.04,                 1.3542,                0.75716,                0.66155,                0.71563,                0.54699,                 1.2618,                 1.3401,                 1.6147,               0.000307,               0.000307,               0.000307
                     58,                0.94924,                 1.0464,                 1.3485,                0.76084,                0.67923,                 0.7189,                0.55652,                  1.267,                 1.3447,                 1.6268,             0.00029462,             0.00029462,             0.00029462
                     59,                 0.9335,                 1.0132,                 1.3379,                0.74638,                0.68151,                0.72117,                0.56056,                 1.2648,                 1.3092,                 1.6195,             0.00028225,             0.00028225,             0.00028225
                     60,                0.93379,                 0.9962,                 1.3355,                0.76352,                0.68437,                0.73119,                0.56094,                 1.2677,                 1.2947,                 1.6188,             0.00026987,             0.00026987,             0.00026987
                     61,                0.93202,                0.99318,                 1.3365,                 0.7372,                 0.7011,                0.73168,                0.56633,                  1.237,                 1.2846,                 1.5946,              0.0002575,              0.0002575,              0.0002575
                     62,                 0.9329,                0.98728,                 1.3293,                0.73844,                0.70286,                0.72314,                0.56269,                 1.2647,                 1.2998,                 1.6158,             0.00024513,             0.00024513,             0.00024513
                     63,                0.91702,                0.94981,                 1.3239,                0.73776,                0.69553,                  0.721,                0.56195,                  1.254,                 1.2911,                 1.6061,             0.00023275,             0.00023275,             0.00023275
                     64,                0.91247,                0.94511,                 1.3167,                0.76136,                0.68551,                0.72666,                0.56235,                 1.2542,                 1.3164,                 1.6088,             0.00022038,             0.00022038,             0.00022038
                     65,                0.90095,                0.92362,                 1.3119,                0.72933,                0.69956,                0.73303,                0.56743,                 1.2669,                 1.3047,                 1.6299,               0.000208,               0.000208,               0.000208
                     66,                0.90423,                0.93109,                 1.3071,                0.74752,                0.70035,                0.73175,                   0.57,                 1.2438,                 1.2805,                 1.5938,             0.00019562,             0.00019562,             0.00019562
                     67,                0.87562,                0.89782,                 1.2911,                 0.7492,                0.69288,                0.72663,                0.56735,                  1.253,                 1.2983,                 1.6268,             0.00018325,             0.00018325,             0.00018325
                     68,                0.89138,                0.89447,                  1.304,                0.77114,                0.69068,                0.73144,                  0.568,                 1.2402,                 1.2917,                 1.6065,             0.00017087,             0.00017087,             0.00017087
                     69,                0.87739,                0.88286,                 1.2821,                0.75526,                0.69627,                0.72584,                0.56791,                 1.2435,                 1.3203,                 1.6083,              0.0001585,              0.0001585,              0.0001585
                     70,                0.87165,                0.86507,                 1.2853,                0.77773,                0.68085,                0.72727,                0.56759,                 1.2408,                 1.2986,                 1.6103,             0.00014612,             0.00014612,             0.00014612
                     71,                0.85853,                0.74987,                 1.2526,                0.77651,                0.66727,                0.72654,                0.57313,                 1.2496,                 1.2878,                 1.6274,             0.00013375,             0.00013375,             0.00013375
