                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4767,                 3.2273,                 1.6584,                 0.3816,                0.39728,                0.39798,                0.28404,                 1.5465,                 2.7143,                 1.7399,             0.00033144,             0.00033144,             0.00033144
                      2,                 1.4881,                 2.4743,                 1.6292,                0.63032,                0.40585,                0.42729,                0.31318,                 1.6008,                 2.3714,                 1.7251,             0.00063187,             0.00063187,             0.00063187
                      3,                 1.4704,                  2.269,                 1.6101,                0.50714,                0.41384,                0.42305,                0.27089,                 1.7405,                 2.5527,                 1.9196,             0.00089929,             0.00089929,             0.00089929
                      4,                 1.4567,                  2.175,                 1.6034,                0.46647,                0.44991,                0.44932,                0.32271,                 1.7521,                  2.456,                 1.9311,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.4153,                 2.0331,                 1.5643,                0.61984,                0.48815,                 0.5234,                0.39556,                 1.4838,                 1.9895,                 1.6263,               0.000802,               0.000802,               0.000802
                      6,                 1.3616,                 1.9489,                 1.5253,                 0.5026,                0.49367,                0.52915,                0.40898,                 1.4527,                 2.0106,                 1.6065,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.3382,                 1.8449,                 1.5079,                0.60346,                0.53978,                0.54805,                 0.4176,                 1.4633,                  1.941,                 1.5799,               0.000703,               0.000703,               0.000703
                      8,                 1.3054,                 1.7601,                 1.4721,                0.54296,                0.58715,                0.56413,                0.43261,                 1.3935,                  1.844,                 1.5472,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.2678,                 1.7083,                 1.4547,                0.48843,                0.56046,                0.54209,                0.42009,                 1.4217,                 1.9548,                 1.5772,               0.000604,               0.000604,               0.000604
                     10,                 1.2491,                 1.6433,                 1.4313,                0.58885,                0.59411,                0.59785,                0.46435,                 1.3543,                 1.7114,                 1.4935,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.3045,                 1.7238,                 1.4961,                0.59676,                0.59124,                0.59404,                0.46117,                 1.3521,                 1.7009,                 1.4912,               0.000505,               0.000505,               0.000505
                     12,                 1.2566,                 1.5996,                 1.4524,                0.61281,                0.59214,                0.61121,                   0.47,                 1.3514,                 1.6691,                 1.5064,              0.0004555,              0.0004555,              0.0004555
                     13,                  1.232,                  1.552,                 1.4253,                0.63721,                0.60503,                0.62523,                0.48549,                 1.3254,                 1.6234,                 1.4807,               0.000406,               0.000406,               0.000406
                     14,                 1.2056,                 1.4809,                 1.4044,                0.62574,                0.62788,                0.62773,                 0.4956,                 1.2868,                 1.5795,                 1.4315,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.1679,                 1.4268,                 1.3767,                0.65203,                 0.6218,                0.64144,                0.49461,                 1.3005,                 1.5427,                 1.4447,               0.000307,               0.000307,               0.000307
                     16,                 1.1451,                 1.3536,                 1.3535,                 0.6781,                0.63031,                0.66307,                0.52821,                 1.2473,                 1.4655,                 1.4031,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.1162,                 1.2994,                 1.3362,                0.65101,                0.64968,                0.65322,                0.51661,                 1.2558,                 1.4741,                 1.4269,               0.000208,               0.000208,               0.000208
                     18,                 1.0878,                  1.243,                 1.3124,                0.69324,                 0.6512,                0.66789,                0.52624,                  1.256,                 1.4507,                 1.4197,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.0622,                 1.1899,                 1.2954,                0.71383,                0.64881,                0.67599,                0.53429,                 1.2264,                 1.4134,                 1.3991,               0.000109,               0.000109,               0.000109
                     20,                 1.0396,                 1.1505,                 1.2671,                 0.6994,                0.66291,                0.68263,                0.54175,                 1.2185,                 1.3652,                 1.3909,               5.95e-05,               5.95e-05,               5.95e-05
