                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1313,                  1.411,                 1.3353,                0.64704,                0.61822,                0.64284,                0.49817,                 1.3312,                 1.5163,                 1.4862,             0.00033144,             0.00033144,             0.00033144
                      2,                 1.1974,                 1.4667,                   1.38,                0.57969,                  0.576,                 0.5997,                0.44558,                 1.4178,                 1.7309,                 1.5523,              0.0006538,              0.0006538,              0.0006538
                      3,                 1.2473,                 1.5451,                 1.4191,                0.57007,                0.54232,                0.55873,                0.39166,                 1.5281,                 1.9422,                 1.6783,             0.00096517,             0.00096517,             0.00096517
                      4,                 1.2897,                  1.606,                 1.4461,                0.57666,                0.56205,                0.55599,                0.42667,                 1.4691,                 1.9109,                 1.6167,              0.0009505,              0.0009505,              0.0009505
                      5,                   1.26,                 1.5792,                 1.4324,                0.51903,                0.56656,                0.55863,                0.41036,                 1.5009,                  1.996,                 1.6935,               0.000934,               0.000934,               0.000934
                      6,                 1.2475,                 1.5747,                 1.4244,                0.62377,                0.50367,                0.56106,                0.41778,                 1.4302,                  1.846,                 1.5587,              0.0009175,              0.0009175,              0.0009175
                      7,                 1.2396,                 1.5424,                 1.4165,                0.64779,                0.55325,                0.59762,                  0.449,                 1.4623,                 1.7594,                 1.6024,               0.000901,               0.000901,               0.000901
                      8,                 1.2252,                 1.5083,                  1.405,                0.64302,                0.56224,                0.57919,                0.44783,                 1.4709,                 1.7962,                 1.6265,              0.0008845,              0.0008845,              0.0008845
                      9,                  1.209,                 1.4771,                 1.4023,                0.59374,                0.58055,                0.60153,                0.45374,                 1.4126,                 1.6612,                 1.5434,               0.000868,               0.000868,               0.000868
                     10,                 1.1949,                 1.4496,                 1.3971,                 0.6461,                0.58392,                0.60503,                0.46044,                 1.4084,                 1.7018,                 1.5527,              0.0008515,              0.0008515,              0.0008515
                     11,                 1.2083,                  1.461,                 1.3937,                0.58332,                 0.5766,                0.59877,                0.45996,                 1.3904,                 1.6959,                 1.5519,               0.000835,               0.000835,               0.000835
                     12,                  1.208,                 1.4603,                 1.3956,                0.61762,                0.60931,                0.60108,                0.45852,                 1.4286,                 1.7044,                   1.57,              0.0008185,              0.0008185,              0.0008185
                     13,                 1.1885,                 1.4263,                 1.3797,                0.65336,                0.60476,                0.63288,                0.49016,                 1.3511,                 1.5653,                 1.4816,               0.000802,               0.000802,               0.000802
                     14,                 1.1994,                 1.4107,                 1.3813,                 0.6373,                0.57064,                0.59473,                0.46769,                 1.4322,                 1.7494,                 1.5933,              0.0007855,              0.0007855,              0.0007855
                     15,                  1.175,                 1.3831,                 1.3699,                0.62063,                 0.5857,                0.60529,                0.46806,                 1.3858,                 1.6731,                  1.536,               0.000769,               0.000769,               0.000769
                     16,                 1.1587,                 1.3558,                 1.3506,                0.65689,                0.60577,                0.62805,                0.48384,                 1.3677,                 1.5937,                  1.495,              0.0007525,              0.0007525,              0.0007525
                     17,                 1.1638,                 1.3628,                  1.359,                0.63617,                0.58219,                0.61339,                0.47836,                 1.3486,                 1.6618,                 1.4806,               0.000736,               0.000736,               0.000736
                     18,                 1.1431,                 1.3299,                 1.3444,                0.62419,                0.62614,                 0.6378,                0.49901,                 1.3223,                 1.5315,                 1.4623,              0.0007195,              0.0007195,              0.0007195
                     19,                 1.1428,                 1.3148,                 1.3369,                0.64166,                0.63766,                 0.6421,                0.50444,                 1.3295,                 1.5101,                 1.4613,               0.000703,               0.000703,               0.000703
                     20,                 1.1233,                  1.286,                 1.3233,                0.63864,                0.67089,                0.65901,                 0.5046,                 1.2955,                  1.503,                 1.4337,              0.0006865,              0.0006865,              0.0006865
                     21,                 1.1252,                  1.285,                 1.3252,                0.60008,                0.61361,                0.61596,                0.49166,                 1.3529,                 1.6265,                 1.5206,                0.00067,                0.00067,                0.00067
                     22,                  1.106,                 1.2488,                 1.3183,                0.65533,                0.63641,                 0.6567,                0.50574,                 1.3169,                 1.4641,                 1.4611,              0.0006535,              0.0006535,              0.0006535
                     23,                 1.1097,                 1.2587,                 1.3201,                0.68024,                0.62902,                0.64651,                0.50325,                 1.3249,                 1.5143,                 1.4652,               0.000637,               0.000637,               0.000637
                     24,                 1.1086,                 1.2342,                 1.3137,                0.64269,                0.64238,                0.65425,                0.50956,                 1.3206,                 1.4959,                 1.4753,              0.0006205,              0.0006205,              0.0006205
                     25,                 1.0877,                 1.2181,                  1.302,                0.66278,                0.63809,                0.65353,                0.50781,                 1.3035,                 1.4613,                 1.4416,               0.000604,               0.000604,               0.000604
                     26,                 1.0823,                 1.2095,                 1.2917,                0.63729,                0.66452,                0.66316,                0.51176,                 1.3191,                 1.4894,                 1.4479,              0.0005875,              0.0005875,              0.0005875
                     27,                 1.0761,                 1.1859,                 1.2883,                0.69678,                 0.6625,                0.68271,                0.53214,                 1.3029,                 1.4198,                 1.4422,               0.000571,               0.000571,               0.000571
                     28,                 1.0521,                 1.1579,                 1.2715,                0.69429,                0.66782,                0.67758,                0.52711,                 1.2792,                 1.4097,                 1.4167,              0.0005545,              0.0005545,              0.0005545
                     29,                  1.055,                 1.1511,                 1.2767,                 0.6418,                0.67047,                0.68466,                  0.531,                 1.2842,                 1.4212,                 1.4372,               0.000538,               0.000538,               0.000538
                     30,                 1.0574,                 1.1345,                 1.2692,                0.69671,                0.65568,                0.67355,                0.52015,                 1.3126,                 1.4569,                 1.4557,              0.0005215,              0.0005215,              0.0005215
                     31,                 1.0424,                 1.1049,                 1.2547,                 0.6728,                0.64989,                0.67842,                 0.5284,                 1.2645,                 1.3994,                 1.4192,               0.000505,               0.000505,               0.000505
