                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4709,                 2.5778,                 1.6397,                 0.3641,                0.41359,                0.39346,                0.25489,                 1.6932,                 2.3351,                 1.8428,             0.00033144,             0.00033144,             0.00033144
                      2,                 1.5247,                 2.1182,                 1.6459,                0.24659,                0.42752,                0.29794,                0.17245,                 1.8237,                 2.8879,                 1.9584,             0.00065655,             0.00065655,             0.00065655
                      3,                 1.5685,                 2.1198,                 1.6833,                0.35789,                0.37901,                0.36684,                0.23897,                 1.9682,                 2.6896,                 2.0794,              0.0009734,              0.0009734,              0.0009734
                      4,                 1.5372,                 2.1008,                 1.6737,                0.54454,                0.45622,                0.44533,                0.30351,                 1.6944,                 2.4393,                 1.8663,             0.00096288,             0.00096288,             0.00096288
                      5,                 1.4831,                 2.0096,                  1.643,                0.69497,                0.45651,                0.49485,                0.35931,                 1.6842,                 2.1199,                 1.8232,              0.0009505,              0.0009505,              0.0009505
                      6,                 1.4437,                 1.9018,                 1.5884,                0.53709,                0.52119,                0.51994,                0.38393,                 1.5451,                 2.0075,                 1.7004,             0.00093813,             0.00093813,             0.00093813
                      7,                 1.3906,                 1.8233,                 1.5587,                0.51515,                0.49105,                0.49182,                0.33548,                 1.5748,                 2.1136,                 1.6906,             0.00092575,             0.00092575,             0.00092575
                      8,                 1.3675,                 1.7824,                  1.541,                0.60191,                0.49568,                 0.5145,                0.39367,                 1.5373,                 2.0418,                 1.6961,             0.00091337,             0.00091337,             0.00091337
                      9,                 1.3581,                 1.7491,                 1.5382,                0.59399,                0.55018,                0.53654,                 0.4181,                 1.4824,                 1.9572,                 1.6607,               0.000901,               0.000901,               0.000901
                     10,                 1.3185,                 1.6806,                 1.5087,                0.55361,                  0.582,                0.56988,                0.43374,                 1.4148,                 1.7848,                 1.5495,             0.00088862,             0.00088862,             0.00088862
                     11,                 1.2921,                 1.6385,                 1.4804,                0.56118,                0.55253,                0.55932,                0.42462,                  1.437,                 1.8089,                 1.5977,             0.00087625,             0.00087625,             0.00087625
                     12,                 1.2861,                 1.6177,                 1.4822,                 0.6411,                0.57022,                0.59743,                0.45896,                 1.3904,                 1.7082,                 1.5436,             0.00086388,             0.00086388,             0.00086388
                     13,                 1.2524,                 1.5714,                 1.4574,                0.49575,                0.62305,                0.58726,                0.45515,                 1.3765,                 1.7604,                 1.5491,              0.0008515,              0.0008515,              0.0008515
                     14,                 1.2645,                 1.5637,                 1.4588,                0.59465,                0.60611,                 0.6025,                0.44679,                 1.4271,                 1.7133,                 1.5818,             0.00083913,             0.00083913,             0.00083913
                     15,                  1.241,                 1.5129,                 1.4421,                0.61883,                0.56747,                 0.5913,                0.45743,                 1.4002,                 1.6938,                 1.5571,             0.00082675,             0.00082675,             0.00082675
                     16,                 1.2093,                 1.4731,                 1.4124,                0.65687,                 0.5562,                0.60341,                0.46799,                 1.3687,                 1.6657,                 1.5205,             0.00081437,             0.00081437,             0.00081437
                     17,                 1.2121,                  1.468,                 1.4128,                0.61461,                0.61766,                0.61487,                0.48479,                 1.3435,                 1.6241,                 1.5022,               0.000802,               0.000802,               0.000802
                     18,                 1.1936,                 1.4447,                 1.4048,                0.65103,                0.58255,                0.60745,                0.47191,                 1.3428,                 1.6436,                 1.5139,             0.00078963,             0.00078963,             0.00078963
                     19,                 1.1918,                 1.4265,                 1.3989,                0.63162,                0.59888,                 0.6229,                0.48036,                  1.354,                 1.5924,                 1.5083,             0.00077725,             0.00077725,             0.00077725
                     20,                 1.1755,                 1.4017,                 1.3853,                0.59252,                0.63315,                0.63394,                0.49741,                 1.2967,                 1.5592,                 1.4711,             0.00076488,             0.00076488,             0.00076488
                     21,                 1.1762,                 1.3692,                 1.3817,                0.58621,                0.63564,                0.63253,                0.49117,                 1.3051,                 1.5187,                 1.4766,              0.0007525,              0.0007525,              0.0007525
                     22,                 1.1435,                 1.3462,                  1.367,                0.61545,                0.62915,                0.63468,                0.48602,                 1.3239,                 1.4876,                 1.4798,             0.00074013,             0.00074013,             0.00074013
                     23,                 1.1474,                 1.3321,                 1.3678,                0.64635,                0.63854,                 0.6589,                0.50471,                 1.3239,                 1.5225,                 1.4737,             0.00072775,             0.00072775,             0.00072775
                     24,                  1.152,                 1.3131,                  1.367,                 0.6574,                0.63057,                0.64845,                0.50295,                 1.3179,                 1.4878,                 1.4946,             0.00071537,             0.00071537,             0.00071537
                     25,                 1.1138,                 1.2843,                 1.3449,                0.70554,                0.63174,                0.66305,                0.52636,                  1.277,                 1.4642,                 1.4514,               0.000703,               0.000703,               0.000703
                     26,                  1.107,                  1.281,                 1.3353,                0.67077,                0.63186,                0.64576,                 0.5053,                 1.2842,                 1.4489,                 1.4603,             0.00069063,             0.00069063,             0.00069063
                     27,                  1.094,                 1.2446,                 1.3232,                0.70757,                0.62605,                0.67495,                0.52474,                 1.2887,                 1.3812,                  1.456,             0.00067825,             0.00067825,             0.00067825
                     28,                 1.0757,                 1.2187,                 1.3125,                0.69532,                0.64027,                0.67411,                 0.5284,                 1.2973,                 1.4159,                 1.4794,             0.00066588,             0.00066588,             0.00066588
                     29,                  1.088,                 1.2233,                 1.3216,                0.66675,                0.63097,                0.65138,                 0.5116,                 1.3127,                 1.4893,                 1.4787,              0.0006535,              0.0006535,              0.0006535
                     30,                 1.0809,                  1.211,                 1.3104,                0.63949,                0.68364,                0.67705,                0.53496,                 1.2658,                 1.4085,                 1.4346,             0.00064112,             0.00064112,             0.00064112
                     31,                 1.0638,                 1.1739,                 1.2923,                0.67377,                0.66262,                0.67539,                0.53248,                 1.2784,                 1.3897,                 1.4576,             0.00062875,             0.00062875,             0.00062875
                     32,                 1.0482,                 1.1443,                 1.2843,                0.67817,                0.65504,                0.67705,                 0.5339,                 1.2639,                 1.3774,                 1.4523,             0.00061638,             0.00061638,             0.00061638
                     33,                 1.0547,                 1.1463,                 1.2933,                0.72032,                0.65567,                0.69846,                0.54718,                 1.2671,                 1.3573,                 1.4252,               0.000604,               0.000604,               0.000604
                     34,                 1.0504,                 1.1418,                 1.2827,                0.71872,                0.65039,                0.68217,                0.53252,                 1.3067,                 1.3751,                 1.4421,             0.00059163,             0.00059163,             0.00059163
                     35,                 1.0338,                 1.1113,                 1.2746,                 0.6878,                0.65776,                0.68623,                0.53867,                 1.2558,                 1.3609,                 1.4201,             0.00057925,             0.00057925,             0.00057925
                     36,                 1.0359,                 1.0996,                  1.281,                0.67169,                0.67336,                0.68889,                0.54078,                 1.2803,                 1.3622,                 1.4541,             0.00056687,             0.00056687,             0.00056687
                     37,                 1.0355,                 1.0911,                 1.2746,                0.69683,                0.66037,                 0.6947,                 0.5421,                 1.2754,                  1.367,                 1.4412,              0.0005545,              0.0005545,              0.0005545
                     38,                 1.0121,                 1.0648,                 1.2637,                0.72828,                0.65057,                0.69912,                0.55318,                 1.2408,                 1.3151,                 1.4108,             0.00054212,             0.00054212,             0.00054212
                     39,                 1.0063,                 1.0459,                 1.2513,                0.68654,                0.67163,                0.68657,                0.53953,                 1.2811,                  1.399,                 1.4446,             0.00052975,             0.00052975,             0.00052975
                     40,                 1.0019,                 1.0376,                 1.2474,                0.72341,                0.66141,                0.70393,                0.55953,                 1.2233,                 1.3234,                   1.39,             0.00051737,             0.00051737,             0.00051737
                     41,                0.97737,                 1.0042,                 1.2284,                0.72321,                0.66676,                0.70112,                 0.5521,                 1.2352,                 1.3175,                 1.4131,               0.000505,               0.000505,               0.000505
                     42,                0.99633,                0.99633,                  1.238,                0.71855,                0.66962,                 0.7011,                0.55662,                 1.2395,                  1.318,                 1.4194,             0.00049263,             0.00049263,             0.00049263
                     43,                 0.9748,                0.99502,                 1.2325,                0.74599,                 0.6476,                0.69071,                0.54872,                 1.2636,                 1.3712,                 1.4262,             0.00048025,             0.00048025,             0.00048025
                     44,                0.97968,                0.97555,                 1.2285,                0.77005,                0.65492,                0.70646,                0.56399,                 1.2431,                 1.2979,                  1.425,             0.00046788,             0.00046788,             0.00046788
                     45,                0.95554,                0.95995,                 1.2168,                 0.7128,                0.69512,                0.71068,                0.55989,                 1.2684,                 1.2866,                 1.4385,              0.0004555,              0.0004555,              0.0004555
                     46,                0.95759,                0.94469,                  1.215,                0.70597,                0.67797,                0.70479,                0.55908,                 1.2615,                 1.2981,                 1.4271,             0.00044312,             0.00044312,             0.00044312
                     47,                0.94463,                0.92358,                 1.2119,                0.70427,                 0.6633,                0.68873,                0.55188,                 1.2555,                 1.3408,                 1.4204,             0.00043075,             0.00043075,             0.00043075
                     48,                0.94095,                0.93497,                 1.2072,                 0.7082,                0.69201,                0.70135,                0.55943,                 1.2481,                 1.3036,                 1.4257,             0.00041838,             0.00041838,             0.00041838
                     49,                0.94851,                0.91137,                 1.1955,                0.71974,                0.69255,                 0.7152,                0.56402,                 1.2522,                 1.3007,                 1.4358,               0.000406,               0.000406,               0.000406
